domain,fake,satire,bias,conspiracy,state,junksci,hate,clickbait,unreliable,political,reliable
teapartyeconomist.com,0,0,0,0,0,0,0,0,0,0,0
teapartytribune.com,0,0,0,0,0,0,0,0,0,0,0
the-newspapers.com,0,0,0,0,0,0,0,0,0,0,0
theamericancause.org,0,0,0,0,0,0,0,0,0,0,0
theamericanmirror.com,0,0,0,0,0,0,0,0,0,0,0
theantimedia.org,0,0,0,0,0,0,0,0,173,0,0
thebigriddle.com,36,0,0,0,0,0,0,0,0,0,0
theblaze.com,0,0,0,0,0,0,0,0,0,370,0
thecivilian.co.nz,0,0,0,0,0,0,0,0,0,0,0
thecommonsenseshow.com,100,0,0,0,0,0,0,0,0,0,0
theconservativetreehouse.com,0,0,0,0,0,0,0,0,0,0,0
thedailybeast.com,0,0,0,0,0,0,0,0,0,1460,0
thedailybell.com,0,0,0,0,0,0,0,0,0,0,0
thedailymash.co.uk,0,1273,0,0,0,0,0,0,0,0,0
